equipmentnumber,type,description,geocoordX,geocoordY,state,stateExplanation,stationnumber,datetime
10499641,ELEVATOR,zu Gleis 1,14.6713589,51.0993991,ACTIVE,available,3751,2019-07-07T15:13:10Z
10499642,ELEVATOR,zu Gleis 2/3,14.6713245,51.0995518,ACTIVE,available,3751,2019-07-07T15:13:10Z
10097793,ELEVATOR,zu Gleis 2/3,9.6351921,52.2982117,ACTIVE,available,6578,2019-07-07T15:13:10Z
10267599,ELEVATOR,zu Gleis 2/3,9.500320493,48.99939589,ACTIVE,available,6111,2019-07-07T15:13:10Z
10313104,ESCALATOR,zu Gleis 103/104 (S-Bahn),8.66231455,50.10727055,ACTIVE,available,1866,2019-07-07T15:13:10Z
10267598,ELEVATOR,zu Gleis 1,9.500395115,48.99955831,ACTIVE,available,6111,2019-07-07T15:13:10Z
10315764,ELEVATOR,zu Gleis 6/7,8.6326516,50.0682841,ACTIVE,available,1854,2019-07-07T15:13:10Z
10547807,ELEVATOR,zu Gleis 4/5 Abschnitt A,8.4686182,49.4796259,ACTIVE,available,3925,2019-07-07T15:13:10Z
10315763,ELEVATOR,zu Gleis 4/5,8.632774,50.0681167,ACTIVE,available,1854,2019-07-07T15:13:10Z
10547808,ELEVATOR,zu Gleis 2/3 Abschnitt A,8.4687787,49.4797554,ACTIVE,available,3925,2019-07-07T15:13:10Z
10315762,ELEVATOR,zu Gleis 1,8.6329531,50.0678735,ACTIVE,available,1854,2019-07-07T15:13:10Z
10543454,ELEVATOR,zu Gleis 5/6,8.6298163,49.8725555,ACTIVE,available,1126,2019-07-07T15:13:10Z
10543455,ELEVATOR,zu Gleis 7/8,8.6295535,49.87254,ACTIVE,available,1126,2019-07-07T15:13:10Z
10543453,ELEVATOR,zu Gleis 3/4,8.6300911,49.8725678,ACTIVE,available,1126,2019-07-07T15:13:10Z
10084470,ELEVATOR,zu Gleis 1/2,9.8617303,52.36922,INACTIVE,under construction,145,2019-07-07T15:13:10Z
10429782,ELEVATOR,zu Gleis 1/2 (S-Bahn),13.2841667,52.5188262,ACTIVE,available,6708,2019-07-07T15:13:10Z
10463696,ELEVATOR,zu Gleis 5/6,9.3006344,48.7384833,ACTIVE,available,1716,2019-07-07T15:13:10Z
10463695,ELEVATOR,zu Gleis 2/3,9.3007596,48.7386718,INACTIVE,under construction,1716,2019-07-07T15:13:10Z
10313109,ESCALATOR,zu Gleis 101/102 (S-Bahn),8.66341625,50.1074703,ACTIVE,available,1866,2019-07-07T15:13:10Z
10313107,ESCALATOR,zu Gleis 101/102 (S-Bahn),8.66338525,50.10750485,ACTIVE,available,1866,2019-07-07T15:13:10Z
10313108,ESCALATOR,zu Gleis 101/102 (S-Bahn),8.6633997,50.1074894,ACTIVE,available,1866,2019-07-07T15:13:10Z
10267594,ELEVATOR,zu Gleis 2/3,9.577524507,48.98289219,ACTIVE,available,4287,2019-07-07T15:13:10Z
10313105,ESCALATOR,zu Gleis 103/104 (S-Bahn),8.6623292,50.1072551,INACTIVE,not available,1866,2019-07-07T15:13:10Z
10313106,ESCALATOR,zu Gleis 101/102 (S-Bahn),8.6633741,50.1075162,ACTIVE,available,1866,2019-07-07T15:13:10Z
10043953,ESCALATOR,von EG zu UG,11.58235,48.13521,ACTIVE,available,4236,2019-07-07T15:13:10Z
10313125,ESCALATOR,von Zwischenebene zu UG,8.6633731,50.10764815,ACTIVE,available,1866,2019-07-07T15:13:10Z
10043956,ESCALATOR,von EG zu UG,11.58274,48.13472,ACTIVE,available,4236,2019-07-07T15:13:10Z
10313126,ESCALATOR,von EG zu UG,8.6642648,50.10821955,ACTIVE,available,1866,2019-07-07T15:13:10Z
10313123,ESCALATOR,von Zwischenebene zu UG,8.66340295,50.10761755,ACTIVE,available,1866,2019-07-07T15:13:10Z
10043954,ESCALATOR,von EG zu UG,11.58216,48.1344,ACTIVE,available,4236,2019-07-07T15:13:10Z
10465410,ESCALATOR,zu Gleis 1/2 (S-Bahn),13.3977577,52.55447725,ACTIVE,available,791,2019-07-07T15:13:10Z
10313120,ESCALATOR,zu Gleis 101/102 (S-Bahn),8.66248035,50.1070919,ACTIVE,available,1866,2019-07-07T15:13:10Z
10313118,ESCALATOR,zu Gleis 101/102 (S-Bahn),8.6624531,50.1071221,ACTIVE,available,1866,2019-07-07T15:13:10Z
10313116,ESCALATOR,zu B2-Ebene,8.66258525,50.10722485,ACTIVE,available,1866,2019-07-07T15:13:10Z
10313117,ESCALATOR,zu Gleis 101/102 (S-Bahn),8.66243865,50.10713815,ACTIVE,available,1866,2019-07-07T15:13:10Z
10465409,ESCALATOR,zu Gleis 1/2 (S-Bahn),13.39778715,52.55447975,ACTIVE,available,791,2019-07-07T15:13:10Z
10097768,ELEVATOR,zu Gleis 3/4,9.1886554,52.3326321,ACTIVE,available,5954,2019-07-07T15:13:10Z
10097769,ELEVATOR,von EG zu Tunnel,9.1889321,52.3322094,ACTIVE,available,5954,2019-07-07T15:13:10Z
10314460,ESCALATOR,zu Gleis 1,8.78386,50.1025,ACTIVE,available,4743,2019-07-07T15:13:10Z
10097767,ELEVATOR,zu Gleis 1/2,9.1885838,52.3327719,ACTIVE,available,5954,2019-07-07T15:13:10Z
10256014,ELEVATOR,zu Gleis 18/19 (S-Bahn),13.7333093,51.0403711,ACTIVE,available,1343,2019-07-07T15:13:10Z
